LocID,PerilID,CoverageTypeID,Message
216,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
217,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
218,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
219,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
220,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
221,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
222,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
223,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
224,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
225,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
226,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
227,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
228,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
229,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
230,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
231,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
232,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
233,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
234,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
235,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
236,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
237,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
238,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
239,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
240,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
241,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
242,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
243,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
244,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
245,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
246,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
247,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
248,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
249,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
250,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
251,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
252,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
253,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
254,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
255,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
256,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
257,1,1,Successful peril area lookup: 55; Vulnerability lookup: invalid key column value(s) for location
258,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
259,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
260,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
261,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
262,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
263,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
264,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
265,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
266,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
267,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
268,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
269,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
270,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
271,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
272,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
273,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
274,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
275,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
276,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
277,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
278,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
279,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
280,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
281,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
282,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
283,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
284,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
285,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
286,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
287,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
288,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
289,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
290,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
291,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
292,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
293,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
294,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
295,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
296,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
297,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
298,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
299,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
300,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
301,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
302,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
303,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
304,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
305,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
306,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
307,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
308,1,1,Successful peril area lookup: 54; Vulnerability lookup: invalid key column value(s) for location
309,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
310,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
311,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
312,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
313,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
314,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
315,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
316,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
317,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
318,1,1,Successful peril area lookup: 53; Vulnerability lookup: invalid key column value(s) for location
